transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,total_amount,transaction_hour,transaction_dayname,transaction_weekday,transaction_month,transaction_time_bucket,Day_Type,sales_category
19,1/1/2023,2026-07-22T08:00:39.000Z,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9,8,Sun,6,Jan,Morning,Weekend,Small Purchase
20,1/1/2023,2026-07-22T08:11:45.000Z,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,8,Sun,6,Jan,Morning,Weekend,Small Purchase
21,1/1/2023,2026-07-22T08:17:27.000Z,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,8,Sun,6,Jan,Morning,Weekend,Small Purchase
22,1/1/2023,2026-07-22T08:24:26.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,8,Sun,6,Jan,Morning,Weekend,Small Purchase
23,1/1/2023,2026-07-22T08:24:26.000Z,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,8,Sun,6,Jan,Morning,Weekend,Small Purchase
24,1/1/2023,2026-07-22T08:29:38.000Z,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,8,Sun,6,Jan,Morning,Weekend,Small Purchase
25,1/1/2023,2026-07-22T08:31:23.000Z,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75,8,Sun,6,Jan,Morning,Weekend,Small Purchase
26,1/1/2023,2026-07-22T08:33:08.000Z,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3,8,Sun,6,Jan,Morning,Weekend,Small Purchase
27,1/1/2023,2026-07-22T08:33:08.000Z,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,8,Sun,6,Jan,Morning,Weekend,Small Purchase
28,1/1/2023,2026-07-22T08:35:03.000Z,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,8,Sun,6,Jan,Morning,Weekend,Small Purchase
29,1/1/2023,2026-07-22T08:35:03.000Z,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,8,Sun,6,Jan,Morning,Weekend,Small Purchase
30,1/1/2023,2026-07-22T08:41:57.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,8,Sun,6,Jan,Morning,Weekend,Small Purchase
31,1/1/2023,2026-07-22T08:52:03.000Z,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,8,Sun,6,Jan,Morning,Weekend,Small Purchase
32,1/1/2023,2026-07-22T08:52:32.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,8,Sun,6,Jan,Morning,Weekend,Small Purchase
33,1/1/2023,2026-07-22T08:54:33.000Z,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7,8,Sun,6,Jan,Morning,Weekend,Small Purchase
34,1/1/2023,2026-07-22T08:56:27.000Z,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5,8,Sun,6,Jan,Morning,Weekend,Small Purchase
35,1/1/2023,2026-07-22T08:57:46.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,8,Sun,6,Jan,Morning,Weekend,Small Purchase
36,1/1/2023,2026-07-22T08:58:55.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,8,Sun,6,Jan,Morning,Weekend,Small Purchase
37,1/1/2023,2026-07-22T09:00:12.000Z,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4,9,Sun,6,Jan,Morning,Weekend,Small Purchase
38,1/1/2023,2026-07-22T09:00:24.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
39,1/1/2023,2026-07-22T09:07:13.000Z,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
40,1/1/2023,2026-07-22T09:08:09.000Z,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,9,Sun,6,Jan,Morning,Weekend,Small Purchase
41,1/1/2023,2026-07-22T09:08:13.000Z,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
42,1/1/2023,2026-07-22T09:10:30.000Z,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
43,1/1/2023,2026-07-22T09:10:30.000Z,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
44,1/1/2023,2026-07-22T09:11:06.000Z,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,9,Sun,6,Jan,Morning,Weekend,Small Purchase
45,1/1/2023,2026-07-22T09:11:06.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
46,1/1/2023,2026-07-22T09:13:01.000Z,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
47,1/1/2023,2026-07-22T09:13:15.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,9,Sun,6,Jan,Morning,Weekend,Small Purchase
48,1/1/2023,2026-07-22T09:14:16.000Z,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
49,1/1/2023,2026-07-22T09:14:17.000Z,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
50,1/1/2023,2026-07-22T09:14:25.000Z,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
51,1/1/2023,2026-07-22T09:14:41.000Z,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
52,1/1/2023,2026-07-22T09:15:09.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,9,Sun,6,Jan,Morning,Weekend,Small Purchase
53,1/1/2023,2026-07-22T09:15:13.000Z,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6,9,Sun,6,Jan,Morning,Weekend,Small Purchase
54,1/1/2023,2026-07-22T09:19:21.000Z,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,9,Sun,6,Jan,Morning,Weekend,Small Purchase
55,1/1/2023,2026-07-22T09:19:26.000Z,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
56,1/1/2023,2026-07-22T09:21:08.000Z,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,9,Sun,6,Jan,Morning,Weekend,Small Purchase
57,1/1/2023,2026-07-22T09:22:17.000Z,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
58,1/1/2023,2026-07-22T09:22:46.000Z,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,9,Sun,6,Jan,Morning,Weekend,Small Purchase
59,1/1/2023,2026-07-22T09:29:56.000Z,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
60,1/1/2023,2026-07-22T09:29:56.000Z,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
61,1/1/2023,2026-07-22T09:29:57.000Z,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
62,1/1/2023,2026-07-22T09:34:17.000Z,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
63,1/1/2023,2026-07-22T09:40:13.000Z,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,9,Sun,6,Jan,Morning,Weekend,Small Purchase
64,1/1/2023,2026-07-22T09:41:22.000Z,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,9,Sun,6,Jan,Morning,Weekend,Small Purchase
65,1/1/2023,2026-07-22T09:41:22.000Z,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,9,Sun,6,Jan,Morning,Weekend,Small Purchase
66,1/1/2023,2026-07-22T09:44:20.000Z,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
67,1/1/2023,2026-07-22T09:44:46.000Z,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
68,1/1/2023,2026-07-22T09:46:46.000Z,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6,9,Sun,6,Jan,Morning,Weekend,Small Purchase
69,1/1/2023,2026-07-22T09:47:40.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
70,1/1/2023,2026-07-22T09:50:44.000Z,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6,9,Sun,6,Jan,Morning,Weekend,Small Purchase
71,1/1/2023,2026-07-22T09:50:44.000Z,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,9,Sun,6,Jan,Morning,Weekend,Small Purchase
72,1/1/2023,2026-07-22T09:52:58.000Z,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
73,1/1/2023,2026-07-22T09:53:28.000Z,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,9,Sun,6,Jan,Morning,Weekend,Small Purchase
74,1/1/2023,2026-07-22T09:53:44.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
75,1/1/2023,2026-07-22T09:53:44.000Z,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,9,Sun,6,Jan,Morning,Weekend,Small Purchase
76,1/1/2023,2026-07-22T09:53:49.000Z,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,9,Sun,6,Jan,Morning,Weekend,Small Purchase
77,1/1/2023,2026-07-22T09:54:46.000Z,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,Sun,6,Jan,Morning,Weekend,Small Purchase
78,1/1/2023,2026-07-22T09:55:16.000Z,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6,9,Sun,6,Jan,Morning,Weekend,Small Purchase
79,1/1/2023,2026-07-22T09:56:30.000Z,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,9,Sun,6,Jan,Morning,Weekend,Small Purchase
80,1/1/2023,2026-07-22T10:00:39.000Z,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,10,Sun,6,Jan,Morning,Weekend,Small Purchase
81,1/1/2023,2026-07-22T10:03:55.000Z,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
82,1/1/2023,2026-07-22T10:14:49.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,10,Sun,6,Jan,Morning,Weekend,Small Purchase
83,1/1/2023,2026-07-22T10:14:49.000Z,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,10,Sun,6,Jan,Morning,Weekend,Small Purchase
84,1/1/2023,2026-07-22T10:16:30.000Z,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,10,Sun,6,Jan,Morning,Weekend,Small Purchase
85,1/1/2023,2026-07-22T10:16:33.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
86,1/1/2023,2026-07-22T10:18:14.000Z,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
87,1/1/2023,2026-07-22T10:18:52.000Z,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,10,Sun,6,Jan,Morning,Weekend,Small Purchase
88,1/1/2023,2026-07-22T10:19:42.000Z,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
89,1/1/2023,2026-07-22T10:24:19.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
90,1/1/2023,2026-07-22T10:25:22.000Z,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,10,Sun,6,Jan,Morning,Weekend,Small Purchase
91,1/1/2023,2026-07-22T10:25:45.000Z,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7,10,Sun,6,Jan,Morning,Weekend,Small Purchase
92,1/1/2023,2026-07-22T10:25:45.000Z,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
93,1/1/2023,2026-07-22T10:27:48.000Z,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,10,Sun,6,Jan,Morning,Weekend,Small Purchase
94,1/1/2023,2026-07-22T10:30:07.000Z,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,10,Sun,6,Jan,Morning,Weekend,Small Purchase
95,1/1/2023,2026-07-22T10:30:07.000Z,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25,10,Sun,6,Jan,Morning,Weekend,Small Purchase
96,1/1/2023,2026-07-22T10:35:47.000Z,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,10,Sun,6,Jan,Morning,Weekend,Small Purchase
97,1/1/2023,2026-07-22T10:41:53.000Z,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
98,1/1/2023,2026-07-22T10:47:53.000Z,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
99,1/1/2023,2026-07-22T10:49:13.000Z,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,10,Sun,6,Jan,Morning,Weekend,Small Purchase
100,1/1/2023,2026-07-22T10:49:51.000Z,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
101,1/1/2023,2026-07-22T10:51:17.000Z,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,10,Sun,6,Jan,Morning,Weekend,Small Purchase
102,1/1/2023,2026-07-22T10:52:44.000Z,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
103,1/1/2023,2026-07-22T10:52:44.000Z,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,10,Sun,6,Jan,Morning,Weekend,Small Purchase
104,1/1/2023,2026-07-22T10:56:14.000Z,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,10,Sun,6,Jan,Morning,Weekend,Small Purchase
105,1/1/2023,2026-07-22T10:56:14.000Z,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,10,Sun,6,Jan,Morning,Weekend,Small Purchase
106,1/1/2023,2026-07-22T11:01:48.000Z,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,11,Sun,6,Jan,Morning,Weekend,Small Purchase
107,1/1/2023,2026-07-22T11:01:58.000Z,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75,11,Sun,6,Jan,Morning,Weekend,Small Purchase
108,1/1/2023,2026-07-22T11:01:58.000Z,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
109,1/1/2023,2026-07-22T11:03:25.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,11,Sun,6,Jan,Morning,Weekend,Small Purchase
110,1/1/2023,2026-07-22T11:03:25.000Z,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
111,1/1/2023,2026-07-22T11:04:32.000Z,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
112,1/1/2023,2026-07-22T11:08:11.000Z,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
113,1/1/2023,2026-07-22T11:08:59.000Z,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,11,Sun,6,Jan,Morning,Weekend,Small Purchase
114,1/1/2023,2026-07-22T11:09:01.000Z,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
115,1/1/2023,2026-07-22T11:10:21.000Z,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3,11,Sun,6,Jan,Morning,Weekend,Small Purchase
116,1/1/2023,2026-07-22T11:10:21.000Z,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,11,Sun,6,Jan,Morning,Weekend,Small Purchase
117,1/1/2023,2026-07-22T11:10:58.000Z,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
118,1/1/2023,2026-07-22T11:12:29.000Z,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3,11,Sun,6,Jan,Morning,Weekend,Small Purchase
119,1/1/2023,2026-07-22T11:16:02.000Z,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,11,Sun,6,Jan,Morning,Weekend,Small Purchase
120,1/1/2023,2026-07-22T11:21:00.000Z,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
121,1/1/2023,2026-07-22T11:21:04.000Z,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,11,Sun,6,Jan,Morning,Weekend,Small Purchase
122,1/1/2023,2026-07-22T11:21:14.000Z,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,11,Sun,6,Jan,Morning,Weekend,Small Purchase
123,1/1/2023,2026-07-22T11:23:01.000Z,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,11,Sun,6,Jan,Morning,Weekend,Small Purchase
124,1/1/2023,2026-07-22T11:23:43.000Z,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
125,1/1/2023,2026-07-22T11:23:43.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,11,Sun,6,Jan,Morning,Weekend,Small Purchase
126,1/1/2023,2026-07-22T11:25:35.000Z,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6,11,Sun,6,Jan,Morning,Weekend,Small Purchase
127,1/1/2023,2026-07-22T11:25:37.000Z,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
128,1/1/2023,2026-07-22T11:28:15.000Z,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
129,1/1/2023,2026-07-22T11:28:29.000Z,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,11,Sun,6,Jan,Morning,Weekend,Small Purchase
130,1/1/2023,2026-07-22T11:29:25.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,11,Sun,6,Jan,Morning,Weekend,Small Purchase
131,1/1/2023,2026-07-22T11:29:57.000Z,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,11,Sun,6,Jan,Morning,Weekend,Small Purchase
132,1/1/2023,2026-07-22T11:29:57.000Z,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
133,1/1/2023,2026-07-22T11:30:22.000Z,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,11,Sun,6,Jan,Morning,Weekend,Small Purchase
134,1/1/2023,2026-07-22T11:31:35.000Z,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3,11,Sun,6,Jan,Morning,Weekend,Small Purchase
135,1/1/2023,2026-07-22T11:31:43.000Z,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,6,11,Sun,6,Jan,Morning,Weekend,Small Purchase
136,1/1/2023,2026-07-22T11:31:43.000Z,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25,11,Sun,6,Jan,Morning,Weekend,Small Purchase
